client,client_type,煤炭周期优选动态轮动策略,沪深300增强策略,中证800增强,中证2000增强,中证1000增强,半导体优选策略,成长红利量化选股,科创参数加强板,双创50增强,医疗ETF增强,通信ETF增强,食品ETF增强,军工ETF增强,旅游ETF增强,动量趋势策略,均衡持仓,杠铃,形态识别,计算机ETF优选策略,化工ETF优选策略
客户A,real_client,0.2880558003224507,0.012795623660266597,-0.2848033218978807,-0.23806700335008224,-0.3240434100612913,0.29726071692608336,-0.07111797859496993,-0.2203783193057246,0.4810295990984697,0.46203187624206643,-0.1753168124270818,0.4769391581607565,0.33019981034884743,-0.4177736171091452,-0.055769810376433415,-0.10433099824111008,-0.14686839609181768,-0.12283515855930144,0.2762719369897411,-0.20331145793271627
客户B,real_client,-0.10717196118426264,-0.04374994947834204,0.16148395404910681,0.08755177465569126,0.060611838972943394,-0.1203535287102423,-0.11462413923566855,0.028126413623492746,-0.12331234121241069,0.434128765647147,0.19157484602790054,0.018501011936079254,0.060655388972682606,-0.062272706846433816,0.16047771329675709,0.022934530602236852,0.08928939419343031,0.3425393690106423,-0.08166046505092489,0.19362748041685432
客户C,real_client,-0.11318354904851013,0.05449150261293484,0.03996341715090432,0.5619790411397236,0.2044563934761987,-0.2668043308402387,-0.04392368139778785,0.24791831534808584,0.20083316737625345,0.2698979312160024,0.13679629831089835,-0.05650957326022382,-0.2518540135776553,-0.13556250692029184,0.303120816893202,-0.01754319594939338,0.12396638268307367,0.4798371603746272,-0.26569935911439313,0.023803698620413455
保守防御型_01,synthetic_client,0.37106302663164814,0.04034974258228782,-0.24877033018974265,-0.03249073354829124,-0.15060646853034138,0.20791051664182147,-0.16196018032852166,-0.19393277311035528,0.12214223745878805,0.0461415222986567,0.028494047110951604,0.5428443525642139,0.05931685373145376,-0.43755695387583876,0.17674262941915336,-0.12749099812492798,-0.1267134236852901,-0.07584555911683621,0.178008033786311,-0.11912942757400985
均衡配置型_02,synthetic_client,-0.19111612933401828,0.04256510668976746,-0.30571300988997857,0.04915506311621021,-0.12037884713321978,-0.3032190190051495,-0.2343109725865694,-0.16872934754368613,0.16446969795090316,0.393849183706369,-0.1429261738993311,0.03378458970410242,-0.2888694576005427,-0.4978613427861685,0.17586294223268092,-0.30467561123895287,-0.2322594192788136,0.21533901122502636,-0.28204714021318006,-0.3059960779833179
高频交易型_03,synthetic_client,-0.24166668284984644,-0.07102795372579479,-0.028603607589577112,0.1814338156418569,-0.025506162989894027,-0.3177120216860044,-0.23459918819325432,0.05705908301889995,-0.1586646071284713,0.3456478388083485,-0.034792216369072454,0.057038368357244185,-0.12274110527403503,-0.1739005133744264,0.24352918449032032,-0.08024442879390176,-0.0179880257332124,0.3977584174065889,-0.32133599002071317,0.01304871365464777
成长进攻型_04,synthetic_client,-0.1675844903578551,-0.12113779868775709,-0.2788736308418651,-0.026875484284142992,-0.20238414033376956,-0.3110405857679624,-0.26899497127199357,-0.02808804622655134,0.04346330988550043,0.35409189078688236,-0.24033657085097276,0.17647140905974767,-0.10302481679735837,-0.4190801751269894,0.10109776357529146,-0.17810675227832923,-0.03230747738197004,0.25003937108063695,-0.33105070541336795,-0.24518607232988793
集中持仓型_05,synthetic_client,0.045267415304865,-0.18222277861411512,-0.3848859204905308,-0.14543758960426617,-0.3977529692204819,-0.11557261010955011,-0.352650666986742,-0.27735394422116005,0.22078274643092727,0.44344755728090174,-0.25266278058440256,0.27793340377438275,0.05085176835532784,-0.5422237311198692,-0.04965618864465843,-0.2282586749218391,-0.37368265469419776,0.030930234635184795,-0.1318701564247004,-0.2988058968932254
保守防御型_06,synthetic_client,0.2995241436023673,-0.2082619566279485,-0.3212409300587777,-0.1270893156166888,-0.40099259942972404,0.19555543405590947,-0.33715566291396143,-0.36347705850917705,0.17823104632987177,0.34517234564357785,-0.05546769819753877,0.5153253214744393,0.17247652075655096,-0.46298095392163646,0.0025955159059881105,-0.233684211286461,-0.312349093677517,-0.12045788195144985,0.17153584297472746,-0.15299253028476612
均衡配置型_07,synthetic_client,-0.15871561391533823,-0.1008647973515398,-0.2805601231278102,0.005863857540035905,-0.24148844163373795,-0.2629906017544395,-0.23817936457372058,-0.147615774881383,0.3081353122408103,0.5736814970281353,-0.2167245427475093,0.014815357051898903,-0.05380062504400024,-0.41075681293038635,-0.03388959697558214,-0.2067214045687309,-0.2819770776881845,0.1930966492970344,-0.2472128167588022,-0.27431436483923893
高频交易型_08,synthetic_client,-0.2504297942018256,-0.04683280664714867,0.07590664634731928,0.2476977417286508,0.04012781719541186,-0.20446776958120327,-0.07115625711074647,0.149041671856048,0.09223903154053947,0.560646307760091,0.04577195351889432,-0.0400426086440927,-0.01759192575996904,-0.03681567541910182,0.23844335971432745,-0.04349721591155109,0.11787749159692103,0.47023476187330526,-0.18304924887442076,0.06664146031196061
成长进攻型_09,synthetic_client,-0.12751427418522204,-0.08650685449431811,-0.08831467751342326,0.265506074251928,-0.11944918168209606,-0.10423196263693468,-0.23817010595553906,-0.21169955432409215,0.2553984485656966,0.6565659840882286,0.10520644344579287,-0.02294574319701409,-0.09541209802807532,-0.21609107612403367,0.10038162653481839,-0.2536517339497217,-0.21136799216339747,0.21571791455358186,-0.05512130801294246,-0.039504143778132605
