client,client_type,strategy,behavior_similarity,holding_similarity,style_score,performance_score,final_score,rank,strategy_avg_return_pct,strategy_max_drawdown,strategy_sharpe_approx,client_avg_return_pct,client_max_drawdown,client_sharpe_approx,return_improvement,drawdown_improvement
客户A,real_client,双创50增强,0.9132072235529751,-0.04319656187199339,0.38718514156924244,0.7000000000000001,0.4810295990984697,1,1.1131,-0.2103,2.867896615430161,0.011559843400979528,-0.4683287869160522,0.16550961438403938,1.1015401565990204,0.2580287869160522
客户A,real_client,食品ETF增强,0.7467939011841226,-0.15143096288894045,0.2527702259439379,1.0,0.4769391581607565,2,0.0353,-0.1321,0.5463719973242132,0.011559843400979528,-0.4683287869160522,0.16550961438403938,0.02374015659902047,0.3362287869160522
客户A,real_client,医疗ETF增强,-0.031061431905301178,0.6800421488110032,0.3600455374886663,0.7000000000000001,0.46203187624206643,3,0.2091,-0.1908,1.9020858347784249,0.011559843400979528,-0.4683287869160522,0.16550961438403938,0.19754015659902047,0.2775287869160522
客户A,real_client,军工ETF增强,0.33506991148302817,0.03805919021219095,0.17171401478406773,0.7000000000000001,0.33019981034884743,4,0.7849,-0.2151,3.910415057358552,0.011559843400979528,-0.4683287869160522,0.16550961438403938,0.7733401565990206,0.25322878691605216
客户A,real_client,半导体优选策略,0.24886670065682864,0.023033003166707245,0.12465816703726189,0.7000000000000001,0.29726071692608336,5,0.9891,-0.1962,5.912804034378871,0.011559843400979528,-0.4683287869160522,0.16550961438403938,0.9775401565990205,0.27212878691605213
客户B,real_client,医疗ETF增强,0.44928382515954696,0.21455678109581733,0.32018395092449564,0.7000000000000001,0.434128765647147,1,0.2091,-0.1908,1.9020858347784249,-0.002353728547867063,-0.9917872553841675,-0.06542906747848307,0.21145372854786706,0.8009872553841675
客户B,real_client,形态识别,0.9726918930461737,-0.4515807202568893,0.18934195572948903,0.7000000000000001,0.3425393690106423,2,0.3346,-0.2057,5.96181387741118,-0.002353728547867063,-0.9917872553841675,-0.06542906747848307,0.3369537285478671,0.7860872553841675
客户B,real_client,化工ETF优选策略,0.3687181484890535,-0.3442045100186949,-0.023389313690208136,0.7000000000000001,0.19362748041685432,3,1.496,-0.1441,13.158559383276927,-0.002353728547867063,-0.9917872553841675,-0.06542906747848307,1.498353728547867,0.8476872553841674
客户B,real_client,通信ETF增强,0.4814060462824867,-0.44173521701579943,-0.026321648531570707,0.7000000000000001,0.19157484602790054,4,2.4045,-0.2064,16.149844475140775,-0.002353728547867063,-0.9917872553841675,-0.06542906747848307,2.4068537285478673,0.7853872553841674
客户B,real_client,中证800增强,0.4255339102752941,-0.4741798121756125,-0.06930863707270457,0.7000000000000001,0.16148395404910681,5,1.238,-0.1227,6.566927244654411,-0.002353728547867063,-0.9917872553841675,-0.06542906747848307,1.240353728547867,0.8690872553841674
客户C,real_client,中证2000增强,0.525777927745091,0.48404933480524676,0.5028272016281767,0.7000000000000001,0.5619790411397236,1,0.6757,-0.1532,7.49276065340675,0.00510590101668526,-0.49043128444906553,0.09958965164422462,0.6705940989833147,0.3372312844490655
客户C,real_client,形态识别,0.43294006975998756,0.1128858140265743,0.25691022910661027,1.0,0.4798371603746272,2,0.3346,-0.2057,5.96181387741118,0.00510590101668526,-0.49043128444906553,0.09958965164422462,0.3294940989833147,0.28473128444906554
客户C,real_client,动量趋势策略,-0.14777809237615258,0.12901536621218204,0.004458309847431466,1.0,0.303120816893202,3,1.3091,-0.1214,27.88755024876618,0.00510590101668526,-0.49043128444906553,0.09958965164422462,1.3039940989833148,0.3690312844490655
客户C,real_client,医疗ETF增强,0.9222519969532639,-0.5989907735695473,0.0855684731657177,0.7000000000000001,0.2698979312160024,4,0.2091,-0.1908,1.9020858347784249,0.00510590101668526,-0.49043128444906553,0.09958965164422462,0.20399409898331475,0.2996312844490655
客户C,real_client,科创参数加强板,-0.22684733430972784,0.28409149520948074,0.05416902192583688,0.7000000000000001,0.24791831534808584,5,0.9702,-0.2884,5.061098940405834,0.00510590101668526,-0.49043128444906553,0.09958965164422462,0.9650940989833147,0.20203128444906554
