entity_name,entity_type,theme,n_records,n_trade_days,log_trade_freq,avg_hold_days,turnover_rate,log_avg_trade_amount,buy_sell_ratio,trade_regularity,num_stocks,concentration_top3,concentration_top1,avg_position_pct,position_peak_ratio,stock_turnover,avg_return_pct,win_rate,profit_loss_ratio,max_drawdown,return_volatility,sharpe_approx,summary_cum_return_2025,summary_drawdown_2025,summary_annual_return
煤炭周期优选动态轮动策略,strategy,周期轮动,279,63,1.6916760106710724,66.0,1.5751725677092068,10.522650589147418,1.0217391304347827,0.20858297118256547,12.0,0.3833732098886175,0.14182144499270943,0.2811628693637632,2.063772155893336,0.043010752688172046,0.0537,0.5194174757281553,1.630135283905471,-0.2129,0.14458419076102993,0.3714099011610187,0.0537,-0.2129,0.2019
沪深300增强策略,strategy,大盘蓝筹,97,15,2.0104486701928845,35.0,2.8741732475209503,12.142693253012045,1.4871794871794872,0.12255076468647719,27.0,0.21562940079496581,0.08090699457966712,0.05899207037987189,3.9092678180491363,0.27835051546391754,0.593,0.6491228070175439,2.9813405146654532,-0.1756,0.15188563814677034,3.9042532739466216,0.593,-0.1756,0.3231
中证800增强,strategy,大盘均衡,3184,263,2.573105534339101,14.0,2.5915801181958313,12.493640559020742,1.041025641025641,0.18813245812126,167.0,0.1090861694908805,0.036714429865146614,0.02356844412985349,21.034677237791016,0.05244974874371859,1.238,0.5887890457851946,2.548234785772345,-0.1227,0.1885204379274573,6.566927244654411,1.238,-0.1227,0.7556
中证2000增强,strategy,中小盘,1298,446,1.363617652448861,5.0,1.9121447328275911,11.918099980038981,1.015527950310559,0.8821268405094237,151.0,0.09191269164973598,0.035794105453730636,0.08276890556282497,5.748855338799237,0.11633281972265024,0.6757,0.5667701863354038,1.4925354778140634,-0.1532,0.09018037960318111,7.49276065340675,0.6757,-0.1532,0.4503
中证1000增强,strategy,中小盘成长,822,59,2.70352018203046,11.0,2.9790860554251695,12.760844809617799,1.081012658227848,0.177301925637706,149.0,0.06931622717267615,0.027372042425130857,0.026121123330461335,7.539499457470278,0.18126520681265207,1.2996,0.5325884543761639,2.1875802237581774,-0.2344,0.1358386998294221,9.567229380375093,1.2996,-0.2344,0.3703
半导体优选策略,strategy,科技行业,281,63,1.6975069309818658,42.0,1.7772834938539785,11.502583344421009,1.2125984251968505,0.22837777790051184,14.0,0.37843937879997175,0.14969482925945346,0.057336669393123346,3.5736535010914157,0.0498220640569395,0.9891,0.7268041237113402,2.9216482714335155,-0.1962,0.16728103861536198,5.912804034378871,0.9891,-0.1962,1.04
成长红利量化选股,strategy,成长红利,2060,75,3.3487338121264143,57.0,3.862392517114291,10.864992122690754,1.3276836158192091,0.12264838280906416,343.0,0.040897209458203694,0.01456036607505386,0.028036824512781767,5.848623149701138,0.16650485436893203,0.2151,0.5833333333333334,1.1816450587272926,-0.0739,0.1262298748401653,1.7040340115393744,0.2151,-0.0739,0.1643
科创参数加强板,strategy,科创成长,1717,238,2.1058747987479918,13.0,1.787023659858827,10.919814241890743,0.9735632183908046,0.20449936355350695,254.0,0.04813259135656106,0.022910148101582657,0.006902074077518268,8.442935880567326,0.14793244030285382,0.9702,0.4614594039054471,1.8215346943175648,-0.2884,0.191697497208423,5.061098940405834,0.9702,-0.2884,0.0453
双创50增强,strategy,双创成长,697,211,1.4593862451252266,27.5,1.1681438067059848,11.189596788408094,1.5814814814814815,0.3755178259207974,80.0,0.11727562083537782,0.05471494185976223,0.010109528595718969,3.963280369222097,0.11477761836441894,1.1131,0.44362745098039214,2.0613723777110597,-0.2103,0.3881241722631079,2.867896615430161,1.1131,-0.2103,0.2157
医疗ETF增强,strategy,医药行业,471,201,1.2069534324640738,12.0,1.0730637128782776,11.817364725428156,1.8895705521472392,0.9192107054316077,27.0,0.3899059926846909,0.1517237173093945,0.05156735954549337,2.7115212860970526,0.05732484076433121,0.2091,0.42905405405405406,1.8883713451538715,-0.1908,0.10993194743199283,1.9020858347784249,0.2091,-0.1908,0.1511
