entity_name,entity_type,cluster,LD1,LD2
煤炭周期优选动态轮动策略,strategy,2,0.7394584395729714,-2.773428034554324
沪深300增强策略,strategy,2,0.017257855892957974,-5.217579850061369
中证800增强,strategy,2,-3.2708934452626166,-5.553841182739591
中证2000增强,strategy,2,-1.8162465262628265,-2.2692432506272615
中证1000增强,strategy,2,-0.9779157735436025,-5.364220199691296
半导体优选策略,strategy,2,-0.744650446285714,-5.1162376605143285
成长红利量化选股,strategy,2,-3.59544398725358,-5.535333452112134
科创参数加强板,strategy,2,-2.3283605530401483,-4.195980702345467
双创50增强,strategy,2,-0.3857200637375088,-5.857650408219979
医疗ETF增强,strategy,0,1.0313713949423435,1.4964522054603062
通信ETF增强,strategy,2,0.43495138318159543,-5.755300434079914
食品ETF增强,strategy,0,1.7152676328942031,-0.7662571286268892
军工ETF增强,strategy,2,0.9013038175163274,-6.006778252176464
旅游ETF增强,strategy,2,1.6023553680296427,-4.8506707647723655
动量趋势策略,strategy,1,-22.37790556543374,4.686038016212833
均衡持仓,strategy,2,-1.6932121559710474,-5.661298733535214
杠铃,strategy,2,-1.2000431011750519,-4.480088080723906
形态识别,strategy,1,-20.838499881491593,5.014616759054889
计算机ETF优选策略,strategy,2,-1.166004863431362,-5.521968431268915
化工ETF优选策略,strategy,2,-1.4817216381294567,-5.302024423063568
客户A,real_client,0,2.534521629503305,2.8729920264267785
客户B,real_client,0,1.3923302211489397,2.7673051781721463
客户C,real_client,0,2.6166097860222037,1.1288552689188447
保守防御型_01,synthetic_client,0,1.2255945512927078,1.3626675085150002
均衡配置型_02,synthetic_client,0,1.9929501565685577,2.021343589805638
高频交易型_03,synthetic_client,0,2.0958613554037786,1.9356979927349554
成长进攻型_04,synthetic_client,0,1.9005475854007372,2.261164600341356
集中持仓型_05,synthetic_client,0,1.5685911333656635,3.0580246722459035
保守防御型_06,synthetic_client,0,1.023119605752062,2.2707651232265693
均衡配置型_07,synthetic_client,0,2.7522078462533064,2.7583979951626882
高频交易型_08,synthetic_client,0,1.6376990749088782,2.705012239640446
成长进攻型_09,synthetic_client,0,1.4728611404494534,2.1362187044751697
集中持仓型_10,synthetic_client,0,2.1981417104932115,4.371346009510293
保守防御型_11,synthetic_client,0,1.9625077565619793,1.990053220078708
均衡配置型_12,synthetic_client,0,1.7657690763262979,2.0139983923314855
高频交易型_13,synthetic_client,0,2.770073404214702,2.1536016044312163
成长进攻型_14,synthetic_client,0,3.3314206456485764,2.9038049399357977
集中持仓型_15,synthetic_client,0,0.7275921612830663,3.929351942311098
保守防御型_16,synthetic_client,0,1.533612195146969,3.66100467952218
均衡配置型_17,synthetic_client,0,1.697103953952271,3.077494842069302
高频交易型_18,synthetic_client,0,2.4748419770397425,1.717386009866201
成长进攻型_19,synthetic_client,0,2.2278479954503316,2.87050871074042
集中持仓型_20,synthetic_client,0,2.217322179281461,3.5678834206204675
保守防御型_21,synthetic_client,0,1.840936673605645,2.212343258423286
均衡配置型_22,synthetic_client,0,1.8680387167935093,1.5348269512079817
高频交易型_23,synthetic_client,0,2.720388580199418,1.3981072506646064
成长进攻型_24,synthetic_client,0,0.9768387059739326,2.2570666527303076
集中持仓型_25,synthetic_client,0,2.9093222909475203,2.093571224276096
