entity_name,entity_type,PC1,PC2
煤炭周期优选动态轮动策略,strategy,0.8618434629541396,-2.5294501666237124
沪深300增强策略,strategy,3.0128480540714286,-0.36722665756029416
中证800增强,strategy,5.0651032943723155,-0.4130925468578264
中证2000增强,strategy,2.540218621128099,0.7157259170589166
中证1000增强,strategy,4.806550256926123,0.9070748660916458
半导体优选策略,strategy,2.276084182964536,-2.6367049219935996
成长红利量化选股,strategy,3.773968900076157,-0.888593327003757
科创参数加强板,strategy,3.7784521918353833,0.20786351964211877
双创50增强,strategy,2.978032208418896,-1.7194294663398606
医疗ETF增强,strategy,0.14358853424621582,-0.050987905478921416
通信ETF增强,strategy,4.721532047540084,-0.25741417443859094
食品ETF增强,strategy,-0.08259168612368607,-2.052580500191246
军工ETF增强,strategy,1.3991649085059992,-4.167192086808477
旅游ETF增强,strategy,2.485674638825206,-0.29772290829044973
动量趋势策略,strategy,6.58062517556736,6.262671232075261
均衡持仓,strategy,3.5046793229267816,-2.5025736578565887
杠铃,strategy,2.7016291210686894,-0.6187710174437427
形态识别,strategy,4.300533759980867,4.837258537367317
计算机ETF优选策略,strategy,2.620857820369804,-2.783918882045032
化工ETF优选策略,strategy,3.9749737935125284,-1.2541065135593084
客户A,real_client,-2.652912883649175,-1.2889623686871614
客户B,real_client,-2.7216955327198646,1.0664072746640814
客户C,real_client,-1.1305554841038725,1.317567178999485
保守防御型_01,synthetic_client,-1.8307862419315388,-0.09356045362171182
均衡配置型_02,synthetic_client,-2.017661360380442,0.9234424836281955
高频交易型_03,synthetic_client,-1.9388973718994549,0.831403124958121
成长进攻型_04,synthetic_client,-2.000917317300095,0.691544131773815
集中持仓型_05,synthetic_client,-2.6592608331158423,0.23724950700465255
保守防御型_06,synthetic_client,-2.4153646827832604,-0.23886724958266348
均衡配置型_07,synthetic_client,-2.382739295761502,0.642757195989868
高频交易型_08,synthetic_client,-1.5494635860879105,0.793254490748356
成长进攻型_09,synthetic_client,-1.726241787296584,0.774533228824965
集中持仓型_10,synthetic_client,-3.2494993402720294,0.45828911637618186
保守防御型_11,synthetic_client,-2.036842786950011,0.05214999629732397
均衡配置型_12,synthetic_client,-2.238637654081078,0.18165513388909674
高频交易型_13,synthetic_client,-1.7060725119247626,0.5743503290735769
成长进攻型_14,synthetic_client,-2.353182733323207,-0.005576273876541847
集中持仓型_15,synthetic_client,-3.2205579103447484,0.16374640881325117
保守防御型_16,synthetic_client,-2.071810190349316,-0.3970503160042081
均衡配置型_17,synthetic_client,-2.444310601471074,0.9598552522508561
高频交易型_18,synthetic_client,-1.7085095671273782,0.09976300747162756
成长进攻型_19,synthetic_client,-2.422111466387181,0.3102624235960286
集中持仓型_20,synthetic_client,-3.039757937096068,0.2655968330667749
保守防御型_21,synthetic_client,-2.259791246385477,-0.9243144850030274
均衡配置型_22,synthetic_client,-1.7826329965211771,0.26800490541530025
高频交易型_23,synthetic_client,-1.9732420242939182,0.40445947171839985
成长进攻型_24,synthetic_client,-1.798897068476589,0.7207538034997629
集中持仓型_25,synthetic_client,-2.1114161971333756,0.8204565089717425
